id,codice_dbunico2,copyright,url,ruolo,didascalia,mibacidallegato,descrizione
1,20762,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/12-10-2012/med/6f3354e28783e64da19485dc7569499b3575174.jpg,Immagine: Principale,"Chiesa di San Domenico, facciata",37802,
2,20320,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/documents/07-07-2014/c956356f46136448ff93ff877c92d436e86bf38e.pdf,Documento: Carta dei servizi,carta dei servizi,45881,
3,100044,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/29-04-2013/med/98f825da12238d392e9dabaf1a542ec6dca0de34.JPG,Immagine: Galleria,Interno,41003,
4,100045,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/29-04-2013/med/f681f42d41c5c9cb626bae186ceebf031dad81c.jpg,Immagine: Principale,Interno,41004,
5,100046,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/31-01-2013/med/dca9c3803cd1f12286cf8dd216f23acfc71b51.jpg,Immagine: Principale,Esterno,40807,
6,100049,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/06-05-2013/med/edf3162b76f104c1d7df55111ff19797498fdc.jpg,Immagine: Principale,Interno,41018,
7,110911,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/06-05-2013/med/f6c375d78ae47809e88ceb3c92972a0648143e1.jpg,Immagine: Principale,Esterno,41017,
8,110896,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/05-02-2013/med/ebf7fa875ab0286ae07f28eaf37d9f5d539c1d.jpg,Immagine: Principale,Interno,40840,
9,110925,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/20-01-2014/med/c75ba498d748eb15f10deda377ac58c91a9d835.jpg,Immagine: Principale,MUSEO ARCHEOLOGICO ""FILIPPO FERRARI"",42909,
10,110927,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/20-01-2014/med/a5f2b2afc3d9f8dd316d6896f543c327bf7910ee.jpg,Immagine: Principale,MUSEO DEL COSTUME E DELLE TRADIZIONI DELLA NO,42910,
11,100051,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/27-01-2013/med/dc451a32f0c5e8103ee3e26193c1ef9fc986a856.JPG,Immagine: Principale,Ingresso,40741,
12,100054,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/15-01-2013/med/ed1e63b4f2b6da3a637de3b1179552e1d5e647da.jpg,Immagine: Galleria,Interno,40683,
13,100055,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/30-04-2013/med/67e8243ad8ff604010b52fba1466205eec33a3ea.JPG,Immagine: Principale,Interno,41014,
14,110928,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/21-01-2014/med/7dbee84b6798553a1c7145478817c88be16b5e7.jpg,Immagine: Principale,Museo civico d'arte contemporanea - Pinacotec,42911,
15,100058,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/31-01-2013/med/ed1e63b4f2b6da3a637de3b1179552e1d5e647da.jpg,Immagine: Principale,interno,40819,
16,100059,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/27-04-2013/med/ee214e5d1783569c40645e8aa46d3ac028e6fc36.JPG,Immagine: Principale,Museo,40978,
17,110905,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/28-04-2013/med/b550d26f865412f2e098f8f1f62b4cfffbecb2f.jpg,Immagine: Principale,Palazzo Farnese,40981,
18,100060,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/13-12-2013/med/67fe69047d7394351cebd82a1ab598701ce3d3.JPG,Immagine: Principale,Orso Marsicano,42385,
19,100000,None,http://dbunico20.beniculturali.it/DBUnicoMedia/repository/images/08-01-2013/med/bfc3b88dbb75fd3ef7dda59417a131457d79b3d.jpg,Immagine: Galleria,Interno del Museo,40622,
