id,codice_dbunico2,indirizzo,cap,comune,localita,provincia,regione,latitudine,longitudine,istat_comune,istat_provincia,istat_regione,geom
1,100038,"VIA ROMA, SNC",66042,Bomba,None,Chieti,Abruzzo,42.035316,14.368148,069006,069,13,
2,110924,"Piazza Marconi, 13",,Borrello,,Chieti,Abruzzo,41.92024,14.303575,069007,069,13,
3,100040,"VIA ROMA, 7",66010,Canosa Sannita,PALAZZO,Chieti,Abruzzo,42.29569,14.302502,069010,069,13,
4,100041,"VIA FRANCESCO PAOLO MICHETTI, 1",66012,Casalincontrada,VILLA DEL LOLLIS,Chieti,Abruzzo,42.30904,14.062371,069016,069,13,
5,100043,"VIA COLLE SAN ROCCO, 10",66033,Castiglione Messer Marino,None,Chieti,Abruzzo,41.86724,14.451519,069020,069,13,
6,20762,"Corso Marriccino, 97",66100,Chieti,,Chieti,Abruzzo,42.349155,14.166642,069022,069,13,
7,20320,"Via G.Costanzi, 3 - Villa Comunale, ",66100,Chieti,None,Chieti,Abruzzo,42.35179,14.167151,069022,069,13,
8,100044,"VIA CESARE DE LOLLIS, 10",66100,Chieti,PALAZZO MARTINETTI-BIANCHI,Chieti,Abruzzo,42.350086,14.167604,069022,069,13,
9,100045,"PIAZZA TRENTO E TRIESTE, SNC",66100,Chieti,None,Chieti,Abruzzo,42.35179,14.167151,069022,069,13,
10,100046,"VILLA SELGAROLI, ",66014,Crecchio,PALAZZO,Chieti,Abruzzo,42.289978,14.323218,069027,069,13,
11,100047,"PIAZZA CASTELLO, ",66014,Crecchio,CASTELLO DUCALE,Chieti,Abruzzo,42.29696,14.326282,069027,069,13,
12,100048,"PIAZZA MUNICIPIO, ",66015,Fara San Martino,CENTRO VISITE PARCO NAZIONALE DELLA MAJELLA,Chieti,Abruzzo,42.09037,14.205687,069031,069,13,
13,100049,"PIAZZA SAN DOMENICO, 1",66023,Francavilla al Mare,None,Chieti,Abruzzo,42.421524,14.287307,069035,069,13,
14,110911,Piazza San Domenico, 66023,Francavilla al Mare,,Chieti,Abruzzo,42.415184,14.298808,069035,069,13,
15,110896,"Palazzo Municipale, Piazza San Francesco,  ", ,Guardiagrele,,Chieti,Abruzzo,42.189816,14.219946,069043,069,13,
16,110925,"Via San Francesco , 8",,Guardiagrele,,Chieti,Abruzzo,42.191196,14.220837,069043,069,13,
17,110927,Piazza S. Francesco,,Guardiagrele,,Chieti,Abruzzo,42.191074,14.220947,069043,069,13,
18,100051,"PIAZZA SANTA MARIA MAGGIORE, ",66016,Guardiagrele,None,Chieti,Abruzzo,42.189816,14.219946,069043,069,13,
19,100052,"LOCALITÀ COLLE MADONNA, 10, ",66010,Lama dei Peligni,CENTRO VISITE DEL PARCO NAZIONALE DELLA MAJELLA,Chieti,Abruzzo,42.046566,14.191331,069045,069,13,
20,100053,"VIA GARIBALDI, SNC",66034,Lanciano,None,Chieti,Abruzzo,42.233173,14.391378,069046,069,13,
21,100054,"VIA FINAMORE, 32",66034,Lanciano,None,Chieti,Abruzzo,42.229504,14.386687,069046,069,13,
22,100055,"VIA CAVOUR, 13",66034,Lanciano,PALAZZO STELLA,Chieti,Abruzzo,42.23164,14.388861,069046,069,13,
23,100056,"CASTELLO CALDORESCO MEDIEVALA, ",66050,Monteodorisio,CASTELLO,Chieti,Abruzzo,42.089718,14.652195,069055,069,13,
24,110928,"Largo Farnese, 1",,Ortona,,Chieti,Abruzzo,42.35555,14.404556,069058,069,13,
25,100057,"CORSO GARIBALDI, 19",66026,Ortona,None,Chieti,Abruzzo,42.353237,14.403678,069058,069,13,
26,100058,"PIAZZA SAN TOMMASO, 1",66026,Ortona,CATTEDRALE,Chieti,Abruzzo,42.35691,14.404914,069058,069,13,
27,100059,"CORSO MATTEOTTI, SNC",66034,Ortona,ISTITUTO NAZIONALE TOSTIANO,Chieti,Abruzzo,42.216022,14.39083,069058,069,13,
28,110905,"Palazzo Farnese, Passeggiata Orientale, 3",,Ortona,,Chieti,Abruzzo,42.355347,14.404293,069058,069,13,
29,100060,"LOC. S.ANTONIO, ",66017,Palena,None,Chieti,Abruzzo,41.984074,14.138778,069060,069,13,
30,100061,", ",66017,Palena,CASTELLO DUCALE,Chieti,Abruzzo,41.984074,14.138778,069060,069,13,
31,100062,"CASTELLO MARCHESALE, ",66050,Palmoli,CASTELLO,Chieti,Abruzzo,41.939434,14.581582,069061,069,13,
32,100063,"PIAZZA CAPPELLETTI, 4",66010,Rapino,EX CONVENTO S.ANTONIO ABATE,Chieti,Abruzzo,42.21479,14.188583,069071,069,13,
33,105425,"VIA GIOLITTI, 36",66020,San Giovanni Teatino,None,Chieti,Abruzzo,42.410213,14.202207,069081,069,13,
34,100066,"VIA ROMA, 1",66037,Sant'Eusanio del Sangro,None,Chieti,Abruzzo,42.16795,14.330805,069085,069,13,
35,100000,"VIALE MANSUETO DE AMICIS, SNC",67030,Alfedena,None,L'Aquila,Abruzzo,41.734238,14.032534,066003,066,13,
36,105656,"Via Nuova, 33",67051,Avezzano,PALAZZO COMUNALE,L'Aquila,Abruzzo,42.02531,13.431129,066006,066,13,
37,103848,"PIAZZA CASTELLO, ",67051,Avezzano,CASTELLO ORSINI COLONNA,L'Aquila,Abruzzo,42.027836,13.425338,066006,066,13,
38,105422,"VIA ROMA, ",67050,Bisegna,CENTRO VISITA,L'Aquila,Abruzzo,41.9203,13.757751,066011,066,13,
39,100003,"VIA DEL DEL MUNICIPIO, 5",67023,Castel del Monte,C/O MUNICIPIO,L'Aquila,Abruzzo,42.36481,13.726747,066026,066,13,
40,100005,"CONTRADA DELLA MADDALENA, SNC",67031,Castel di Sangro,C/O EX CONVENTO DELLA MADDALENA,L'Aquila,Abruzzo,41.784336,14.108263,066028,066,13,
41,110798," Palazzo De Petra, Via del Leone", 67031,Castel di Sangro,,L'Aquila,Abruzzo,41.74588,14.03875,066028,066,13,
42,20268,Largo Cavalieri di Vittorio Veneto,67043,Celano,,L'Aquila,Abruzzo,42.0845,13.5455,066032,066,13,
43,100007,"PIAZZA SANDRO PERTINI, SNC",67044,Cerchio,EX CONVENTO DEGLI AGOSTINIANI SCALZI,L'Aquila,Abruzzo,42.06468,13.601874,066033,066,13,
44,100008,"VIA SANTA LUCIA, SNC",67030,Civitella Alfedena,None,L'Aquila,Abruzzo,41.766426,13.943778,066035,066,13,
45,105090,", ",67054,Civitella Roveto,C/O PRO-LOCO,L'Aquila,Abruzzo,41.91373,13.427455,066036,066,13,
46,100009,"PIAZZA MADONNA DELLE GRAZIE, SNC",67030,Cocullo,SEDE COMUNALE,L'Aquila,Abruzzo,42.03376,13.774808,066037,066,13,
47,110921,,,Collelongo,,L'Aquila,Abruzzo,41.886536,13.583386,066039,066,13,
48,100010,"Via Zambeccario,  ",67030,Corfinio,,L'Aquila,Abruzzo,42.12461,13.843567,066041,066,13,
49,110922,Piazza del Popolo,,Fontecchio,,L'Aquila,Abruzzo,42.22994,13.605335,066043,066,13,
50,20257,Via Ottavio Colecchi,67100,L'Aquila,,L'Aquila,Abruzzo,42.352764,13.404026,066049,066,13,
51,104021,"VIA PAGANICA, 17",67100,L'Aquila,None,L'Aquila,Abruzzo,42.35785,13.474216,066049,066,13,
52,100016,", ",67030,Opi,C/O CENTRO VISITA PARCO NAZIONALE D'ABR.,L'Aquila,Abruzzo,41.78097,13.829742,066061,066,13,
53,110906,Via del Carmine,67057,Pescina,,L'Aquila,Abruzzo,42.0254,13.650508,066069,066,13,
54,100018,", ",67033,Pescocostanzo,PALAZZO FANZAGO,L'Aquila,Abruzzo,41.88859,14.064273,066070,066,13,
55,110923,Vecchio Mulino dei Celestini,,Pratola Peligna,,L'Aquila,Abruzzo,42.350735,13.42619,066075,066,13,
